Condition,bern_param_play,bern_param_not_play,dP,impact,avec_key,sans_key,dom_key,ext_key,avec_pos_text,sans_pos_text,dom_pos_text,ext_pos_text,avec_pos_image,sans_pos_image,ext_pos_image,dom_pos_image,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,text_instruction,is_task_obs,innerRun.thisRepN,innerRun.thisTrialN,innerRun.thisN,innerRun.thisIndex,bern_param_left_down,bern_param_left_up,bern_param_right_down,bern_param_right_up,bern_param_z,bern_param_up,bern_param_down,innerBlocks.thisRepN,innerBlocks.thisTrialN,innerBlocks.thisN,innerBlocks.thisIndex,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,avec_feedback.started,sans_feedback.started,cross_outcome_training.started,joueur_feedback.started,outcome_feedback.started,text_resultat.started,cross_outcome_training.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,outcome_feedback.stopped,text_resultat.stopped,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,key_resp_11.keys,key_resp_11.rt,observation_var.routineStartVal,key_resp_3.started,avec3.started,sans3.started,domicile3.started,exterieur3.started,observation.started,text_nombre_matchs_third.started,question_trial23.started,numero_joueur_cues_23.started,cross_fixation.started,avec_cues_23.started,sans_cues_23.started,domicile_cues_23.started,exterieur_cues_23.started,question_mark3.started,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.63251599999785,10.63251599999785,space,0.6526635409973096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820243,001,A,2023-07-04_15h23.06.519,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.311090249997505,11.311090249997505,space,0.13715075000800425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820243,001,A,2023-07-04_15h23.06.519,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.463568707993545,11.463568707993545,space,0.13993791700340807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820243,001,A,2023-07-04_15h23.06.519,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.619660207994457,11.619660207994457,11.619660207994457,11.619660207994457,11.619660207994457,11.619660207994457,11.619660207994457,11.619660207994457,11.619660207994457,11.619660207994457,space,0.143193333002273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820243,001,A,2023-07-04_15h23.06.519,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.30341087499983,32.30341087499983,32.30341087499983,32.30341087499983,32.30341087499983,32.30341087499983,32.30341087499983,32.30341087499983,32.30341087499983,32.30341087499983,space,3.5770482500010985,11.773446541999874,13.78924429199833,13.78924429199833,15.798625374998664,16.132593332993565,16.132593332993565,16.132593332993565,16.132593332993565,16.132593332993565,16.132593332993565,16.132593332993565,16.132593332993565,16.132593332993565,16.132593332993565,right,0,0.7393884580014856,16.922239249994163,16.922239249994163,16.922239249994163,16.922239249994163,16.922239249994163,16.922239249994163,16.922239249994163,16.922239249994163,17.39868920799927,17.39868920799927,17.452578749995155,18.934674041993276,18.934674041993276,18.934674041993276,0.012232458000653423,18.934674041993276,18.934674041993276,-1.0,2.995553374996234,"[-0.05303678357570573, -0.0504704875962361, 0.04020530367835757, 0.4174508126603935]","[0.034644995722840036, 0.021813515825491875, -0.3015397775876818, -0.29726261762189904]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[2.4564697079986217, 2.8532307499990566, 4.07849541700125, 5.128370582999196]",['validate'],0.9020530367835757,4.20588958299777,24.02883099999599,24.02883099999599,space,6.2450771250078105,30.29847387499467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820243,001,A,2023-07-04_15h23.06.519,vb_task_exp_1,2022.2.5,None,
2,0.2,0.8,-0.6,-6,right,left,up,down,"(0.2,-0.1)","(-0.2,-0.1)","(0,0.1)","(0,-0.2)","(0.2,0.0)","(-0.2,0.0)","(0.0,- 0.1)","(0.0, 0.1)",,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.90333891699993,37.91053454199573,38.24625874999765,38.24625874999765,38.24625874999765,38.24625874999765,38.24625874999765,38.24625874999765,38.24625874999765,38.24625874999765,38.24625874999765,38.24625874999765,left,0,0.8433767920068931,39.12341024999478,39.12341024999478,39.12341024999478,39.12341024999478,39.12341024999478,39.12341024999478,39.12341024999478,39.12341024999478,39.61086416699982,39.61086416699982,39.6370764999956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820243,001,A,2023-07-04_15h23.06.519,vb_task_exp_1,2022.2.5,None,
2,0.2,0.8,-0.6,-6,right,left,up,down,"(0.2,-0.1)","(-0.2,-0.1)","(0,0.1)","(0,-0.2)","(0.2,0.0)","(-0.2,0.0)","(0.0,- 0.1)","(0.0, 0.1)",,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.097040916996775,41.42667845799588,41.42667845799588,41.42667845799588,41.42667845799588,41.42667845799588,41.42667845799588,41.42667845799588,41.42667845799588,41.42667845799588,41.42667845799588,left,0,0.569787250002264,42.03295212499506,42.03295212499506,42.03295212499506,42.03295212499506,42.03295212499506,42.03295212499506,42.03295212499506,42.03295212499506,42.5171425419976,42.5171425419976,42.542623374996765,,,,,,,,,,,,,,,,,,,,,,,44.004666374996305,44.004666374996305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820243,001,A,2023-07-04_15h23.06.519,vb_task_exp_1,2022.2.5,None,
2,0.2,0.8,-0.6,-6,right,left,up,down,"(0.2,-0.1)","(-0.2,-0.1)","(0,0.1)","(0,-0.2)","(0.2,0.0)","(-0.2,0.0)","(0.0,- 0.1)","(0.0, 0.1)",,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.01348816699465,44.34760312499566,44.34760312499566,44.34760312499566,44.34760312499566,44.34760312499566,44.34760312499566,44.34760312499566,44.34760312499566,44.34760312499566,44.34760312499566,left,0,1.618960915999196,46.001451457996154,46.001451457996154,46.001451457996154,46.001451457996154,46.001451457996154,46.001451457996154,46.001451457996154,46.001451457996154,46.48802612499276,46.48802612499276,46.514210374996765,,,,,,,,,,,,,,,,,,,,,,,47.97641533299611,47.97641533299611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820243,001,A,2023-07-04_15h23.06.519,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00824562499474,48.00824562499474,48.00824562499474,0.009979624999687076,48.00824562499474,48.00824562499474,3.0,2.8973173330014106,"[0.1300256629597947, 0.059880239520958084, 0.04790419161676647, 0.40804106073567153]","[0.003849443969204448, -0.316082121471343, -0.2938408896492729, -0.2887082976903336]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[2.7573194169963244, 4.066084124999179, 4.660842584002239, 5.812484542002494]",['validate'],0.9790419161676647,4.810396790999221,53.80382358299539,53.80382358299539,space,0.9619387920029112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820243,001,A,2023-07-04_15h23.06.519,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.37107791699964,58.371182832997874,58.71843666699715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.814477041996724,54.814477041996724,54.814477041996724,54.814477041996724,54.814477041996724,54.814477041996724,54.814477041996724,54.814477041996724,54.814477041996724,54.814477041996724,space,1.5324825830030022,1,58.71843666699715,58.71843666699715,58.71843666699715,58.71843666699715,58.71843666699715,58.71843666699715,58.71843666699715,58.71843666699715,58.71843666699715,58.71843666699715,58.71843666699715,58.71843666699715,58.71843666699715,58.71843666699715,60.67622895799286,,,,,,,,
